Lua Diagnostics | Errors: 0 | Warnings: 1054 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 94 | Total: 1148 | Time: 2026-06-05 08:55:01 | Dir: /workspace/scripts
---
WARN  | PhaseRenderers.lua:638:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:639:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:658:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:664:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:668:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:115:11 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseRenderers.lua:295:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseRenderers.lua:296:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | GameSettings.lua:104:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | GameSettings.lua:118:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | GameSettings.lua:101:27 | Cannot resolve module `cjson`. [unresolved-require]
WARN  | GameSettings.lua:116:27 | Cannot resolve module `cjson`. [unresolved-require]
WARN  | KeyBindings.lua:159:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | KeyBindings.lua:173:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | KeyBindings.lua:181:24 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | KeyBindings.lua:198:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | KeyBindings.lua:152:27 | Cannot resolve module `cjson`. [unresolved-require]
WARN  | KeyBindings.lua:171:27 | Cannot resolve module `cjson`. [unresolved-require]
WARN  | Panels.lua:113:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Panels.lua:141:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Panels.lua:240:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Panels.lua:323:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:345:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:364:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:392:30 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:426:30 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:436:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:466:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:498:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:548:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:567:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:571:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:579:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:584:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:619:30 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:628:30 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:636:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | Panels.lua:209:13 | Cannot assign `nil` to `string`. [assign-type-mismatch]
WARN  | Panels.lua:235:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Panels.lua:238:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Panels.lua:241:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Panels.lua:423:13 | Cannot assign `nil` to `string`. [assign-type-mismatch]
WARN  | Panels.lua:521:11 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Panels.lua:522:11 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Panels.lua:253:27 | Cannot resolve module `cjson`. [unresolved-require]
WARN  | NVG.lua:43:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | NVG.lua:83:25 | expected `number` but found `(11|12|13|14|15|16...)?`. [param-type-mismatch]
WARN  | NVG.lua:73:39 | ALLOWED_SIZES[hi] value may be nil [need-check-nil]
WARN  | PhaseIntro.lua:65:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | PhaseIntro.lua:111:16 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | PhaseOverlay.lua:84:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | PhaseOverlay.lua:96:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:179:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:182:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:187:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:191:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:201:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:205:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:220:12 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:222:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:245:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:252:12 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | PhaseOverlay.lua:254:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | PhaseOverlay.lua:183:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseOverlay.lua:189:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseOverlay.lua:253:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseOverlay.lua:255:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseOverlay.lua:257:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | PhaseOverlay.lua:259:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | DrawState.lua:201:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | DrawState.lua:241:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | DrawState.lua:44:17 | expected `userdata` but found `nil`. [param-type-mismatch]
WARN  | DrawState.lua:17:7 | Cannot assign `nil` to `{ strokes = table, weaponType = nil, isComposite = nil, form1Type = nil, ... }`. [assign-type-mismatch]
WARN  | DrawState.lua:245:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | DrawState.lua:246:13 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | DrawState.lua:277:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | DrawState.lua:278:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | DrawState.lua:279:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | ForgeState.lua:141:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | ForgeState.lua:145:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | ForgeState.lua:153:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | ForgeState.lua:160:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | ForgeState.lua:165:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | ForgeState.lua:171:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | ForgeState.lua:191:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
